representation,target,mean,ci_lower,ci_upper,ci_width,n_queries,n_bootstrap,confidence
mfcc_only,genre,0.46961045891141945,0.4592282550693704,0.48020410885805764,0.02097585378868727,3748,1000,0.95
mfcc_only,rhythm,0.2170490928495198,0.21187299893276418,0.2219857257203842,0.010112726787620013,3748,1000,0.95
mfcc_only,mood_proxy,0.31937033084311633,0.3125667022411953,0.32708377801494126,0.014517075773745947,3748,1000,0.95
handcrafted_full,genre,0.47852187833511206,0.46792822838847387,0.489034818569904,0.02110659018143013,3748,1000,0.95
handcrafted_full,rhythm,0.3441568836712914,0.3380996531483458,0.35005402881536823,0.011954375667022454,3748,1000,0.95
handcrafted_full,mood_proxy,0.6179562433297758,0.6102447972251867,0.6255883137673426,0.015343516542155933,3748,1000,0.95
cnn_resnet_medium,genre,0.5499999999999999,0.5383124332977588,0.561506803628602,0.02319437033084315,3748,1000,0.95
cnn_resnet_medium,rhythm,0.22137139807897546,0.21616862326574174,0.22660218783351124,0.010433564567769504,3748,1000,0.95
cnn_resnet_medium,mood_proxy,0.20189434364994666,0.19578375133404485,0.20885805763073642,0.013074306296691568,3748,1000,0.95
vggish_pretrained,genre,0.6129135538954108,0.6022138473852721,0.6239067502668091,0.021692902881537024,3748,1000,0.95
vggish_pretrained,rhythm,0.24092849519743864,0.23559231590181431,0.2466135272145144,0.011021211312700091,3748,1000,0.95
vggish_pretrained,mood_proxy,0.3187299893276414,0.3108591248665955,0.3266288687299893,0.015769743863393804,3748,1000,0.95
